Text,Reason,Label
"nice, but there was no background in mobile",poor performance for weak machines,0
"after the conference, the phone restarts automatically and lags very much, even though i have a very good phone.",want to go back after clicking on effects section,0
i can not install zoom on my android.,want to chat,0
there is no ukrainian flag in emoji,want to remove the bell feature,0
but do not connect and says error problem,want to skip class,0
translation from english to russian is zero.,translation from russian to english is zero,1
nice application never freezes,app never freezes,1
definitely recommend microsoft teams instead,good communication with friends and family,0
"instead of sending the audio to my headphones, what i assume is the bluetooth option sends the audio to my phonecall speaker (I would have to hold the phone to my ear).",want to hear audio through speaker,1
no settings and reinstallations did not help.,resetting did not work,1
network connection is not good and video quality is not good,arabic language does not exist,0
please add ukrainian language support.,want ukrainian language support,1
"since then, i can not turn on the video well.",unable to open app with wifi,0
i do not know how to enable co-host and is a bit laggy.,want to enable co-host,1
I am in a state where only error code 39 is displayed,google duo is easier,0
the truth is that my zoom is very good what i would like is to be able to put the profile picture,unable to connect on mobile network,0
the updated app is not installing on my phone after the update.,mobile app has no background,0
but whenever teacher screen share sometimes it is blackscreen,want to record audio on pc,0
screen sharing quality is the best in the industry,screen sharing quality is good,1
"well after i set my account i was trying to joint my zoom meeting they kept on telling me ""switch account"" and they will not let me change my name and photo . not impressed",facing error 39 issue while using the app,0
the app gets crashed again and again whenever i am taking an online class..,app auto rotates in meeting even after disabling auto rotate feature,0
"would be even better if zoom could silence the computer notification sounds, like incoming emails.",want to mute computer notification sounds,1
best app for online teaching,good for interactions,0
super easy to use,app is user friendly,1
we need add close caption for deaf who can not hear please you can put add for close captions on zoom by wednesday morning,downloading emoji packages interrupts the connection,0
will not let me change password,forget password feature is not working,1
mic does not turn off after call is done.,video sending pauses during multitasking,0
tragic impossible to enter the meeting all the time crashes and the miccophone is not functioning despite buying a new,basic version is good,0
the settings are not displayed on the screen.,app is not good for video conferencing,0
"bad graphics and terrible gameplay, nor can i customize my character",zoom freezes the image and sounds,0
"the app is terrible, although it has most of the things that i like to watch, but it does not matter if it does not work properly.",want to blur background and join meetings,0
"it is also convenient to organize meetings over long distances, no one needs to go anywhere, and this in turn saves a lot of time and effort on the way and preparation.",good for organising long distance meetings,1
sign in to the correct email password and it just shows the wrong email or password,unable to use picture in picture mode,0
I have deleted and re-download the app twice and now i can not even log in.,unable to login even after reinstalling the app,1
it is too slow to open,image freezes and the sound is distorted,0
(learn from the netflix interface),netflix ui is better,1
while connecting 10 or more people connection frequency is to slow.,hulu subscription is expensive,0
", i can not use video blur , what is the process",unable to load the episodes list,0
zoom is not convenient to do lessons in the distance vatsap better than zoom there,zoom is not convenient,1
"I am so sad, and light disappoint because this app on iphone do not have feature allows user to change background in meeting.",ipad app is bad,0
i have to close and reload the app over and over again until the sound works.,android version needs improvement,0
please send some advice on how to get back to the zoom meetings once I have lost the audio and visual.,getting frequent update notifications,0
the sound of the rules can not be,sound of the rules cannot be heard,1
"moreover, since november, i can not confirm my account because i do not receive messages.",want to paste code in while logging in,0
best app for watching cricket,want to download the app,0
it is impossible to enter a conference,good for face to face communication,0
expect the releasers to add settings hit wallpapers on ipad,app is not working on android tv,0
do not use background in video,do not use background in video,1
this is how i pass exams if this app distorts the sound and picture so much.,receiving not eligible to sign up message,0
i get a vpn error.,unable to use vpn,1
this app keeps sending error codes and requiring constant updates,app keeps sending error codes and requiring constant updates,1
"just one issue, high data consumption",want to open multiple rooms simultaneously,0
i love that i can use zoom to watch my kids school activities/functions that otherwise i would not be able to do,want to use app as vip paid user,0
i can not watch the games live,unable to start on oneplus,0
i want to subscribe,mobile version is different,0
very low quality meeting app.,want to find camera option,0
how do i increase the volume ?,app is not working for 2gb smart phones,0
but i can not add the background of in cemara.,want to increase meeting time limit,0
but i want new movies more,need to update with new movies,1
i hear that my zoom has closed unexpectedly.,want to know how many people are listening the foreign language,0
but it would be best if we had the option of sharing only sound through android devices as well.,want share only sound option,1
"first off, the preveiws they put in the app store are so cringe.",good for online studies,0
but i never found the microphone button.,zoom is good for interactive large groups,0
the background does not change,background does not change,1
i do not want to download anything,do not want to download,1
there need to be an option to disable chat popups,want to disable chat popups,1
"i am not able to join audio on pc with my phone , india is not showing in drop down pathetic and even the zoom support is not helping",want to record audio on pc,1
worst ott platform ever.,poor ott platform,1
and there is making it impossible i need my account to cancelled as soon as possible,receiving 104101 error while joining class,0
not able to receive virtual call with physician office without connection issues!,virtual baground is not working,0
will not let me update my payment info.,biometric recognition fails after enabling it in settings,0
i cannot stream on my tv,poor performance in online class meetings,0
the desktop version is terrible since the last update.,desktop version update is not good,1
the app does not start for me (iphone 12),want to create account,0
love this app i can always get on zoom with my friends or family,app has good content for whole family,0
"still does not allow choosing background filters from mobile devices, very inconvenient",app has frequent loading issues,0
please provide a feature to be able to install a background on iphone 6,lost audio and video,0
"it really takes up space on my phone, so bad",lost audio and video,0
"i can not get panting because i use a supercomputer, but the zoom on my phone is a guggie computer",want to do painting,1
can not go in waiting room..,want to input date of birth,0
how can you add a comment or well wishes?,want to add comment or well wishes,1
can not suck can not create regestration they say at the moment registration is not available,want to create regestration,1
just add a playback speed option,prices are high,0
i cannot copy paste chat.,want to copy paste chat,1
do not pin videos when someone is sharing the screen (can not pin anyone while someone is sharing screen),want to pin video when sharing screen,1
the mail does not work for them.,notifications are received on the phone,0
"i try to agree to say that disney + is unavailable in a certain region, and i was picking it up now",updating app is time consuming,0
"the app is very bad, it is not convenient to use",app is not easy to use,1
zoom is completely unusable while driving a car.,good for watching marvel movies,0
the sound is bad.,want to create regestration,0
"this app is one of the most modern ""facetime"" apps.",good app for conducting facetime,1
"the zoom has always worked very well, it is very convenient, but recently it has become hanging,",want a filter for the face,0
sometimes the image freezes.,image freezes sometimes,1
band does anyone know why when i share screen it tells me that i can not share video while I am on call?,want to share video while on call,1
it crashes on the splash screen.,app crashes on loading screen,1
i am downloading zoom from 2 days but it is not getting downloaded.,unable to download,1
the sound is constantly glictching!,sound is constantly glitching,1
the app is very good but it would be much better if the background comes to phone and tablet as well please come,want to add virtual background,1
the new icon menu does not let me access the text box.,app is unresponsive,0
"it is a shame that once the meeting has started, you can not reach the settings anymore.",app keeps getting splashed out,0
can not add background photo on oppo 95,unable to watch on hotstar,0
"and for ipad, you can not sign in with apple",want to login with apple id,1
this app is very easy to log in for kids my daughter like this app,poor quality of meeting,0
unable to change the background during video call in android tablet,facing error codes frequently,0
"zoom does not seem to want to keep my account working, I am very mad",want to access account,1
"i love the zoom app, i just wish they would address a way to center view when you have an off-center camera on your device.",good for video conferencing,0
but the volume came a little low.,volume is too low,1
i can not make a room even though I have done my birth month and year.,want to create a room,1
1star only for removing background blur on my ia 2.,want blurred background feature,1
"*the card automatically withdraws money, do not connect to a professional plan or business",card is not connected to professional plan,1
could be a little clearer voice control,want better voice control,1
:can you just add some more of backgrounds like:,want to add more backgrounds,1
web browser audio not working,web browser audio not working,1
"you should add the option to remove from the ""continue watching"" list.",want to remove videos from continue watching list,1
could have used a better ui.,need to improve user interface,1
zoom is not working properly,loading time is slow,0
still have not got a refund.,want to get a refund,1
"after updating, i can no longer use hulu.",want to make zumbang,0
I am sorry i can not make zumbang.,want to make zumbang,1
excellent app the connection is very stable,want lite version of app,0
but there is no updates available on hotstar,app service is bad,0
the app does not work often.,app is not working frequently,1
i want to watch the games,want to watch the games,1
this is amazing but try to keep the mic off when we log on to the meeting,want to unlock camera icon,0
always buffering while watching ipl even on good internet speed this is ridiculous,sound quality is delayed,0
"if the desktop version can still be used at the very least, then the application is generally useless",want to put emojis on cell,0
how to put virtual background in mobile on zoom??,want to play video while zooming,0
it does not work well with live streaming,want to download zoom cloud meeting,0
there is no way to organize session rooms on the ipad.,getting frequent ads during live matches,0
we can download videos in this app.,good app to download videos,1
"to whom it may concern
is it possible to have the translation simultaneously by splitting the screen in two",want simultaneous translation by splitting screen,1
sometimes i can not rename my name in zoom settings.,want to login with phone,0
"poorly made, bad quality, i hate school",want to listen to meetings in car,0
"the content is good, but the application is not optimized",good for digital management,0
it is easy to use without having to memorize how to use kuji.,easy to use without having to memorize kuji,1
"i liked the app, but recently the sound has stopped working.",want to remove background,0
and i had trouble with zoom cloud meetings.,facing issues with zoom cloud meetings,1
zoom would not let me connect,want to connect to zoom,1
i do not have the option of selecting background during meetings .,want to select background during meetings,1
i cannot attend zoom meetings by 10 days,image freezes sometimes,0
"everything was fine before but now after i re-installed, it is not supported on my ios",app is not supported on ios after reinstall,1
crashes 50 times in a minute,want screen recording feature for viewers,0
it take high speed network.very bad app,app requires high speed internet,1
"mediocre app, dumbed down video meetings for the masses with clumsy interface, significant lack of features and expensive for anything above the really crude basic entry level.",app has bad interface,1
mic does not turn off after call is done.,unable to watch on tv,0
"okay, but i wish you could put a button that lowers all the participants' hands at once when you host on the computer.",want to enable vbg for all devices,0
"bad graphics and terrible gameplay, nor can i customize my character",connecting through bluetooth is time consuming,0
"it is slow, still buffering.",app is slow and buffers a lot,1
"when i record my screen share on mac book pro, the video recording gets very poor quality.",want to know how many people are listening the foreign language,0
i think this app must be modified the camera quality because it is camera quality is literally worse in my opinion,unable to download movies,0
otp is not received,connection is permanently cut off,0
not able to use virtual background filter in my meetings.,want to use virtual background filter,1
when i try to open the app on my ipad,good for spiritual needs,0
also if we join from the browser sometimes the mic does not works.,espn is bad,0
it takes a long time to log in if you manage to log in,want to refresh app,0
"the application does not work, does not turn on, so you cannot create an account.",unable to login on app,1
wonderful possibility to conduct group lessons,good for group learning,1
"until today the app has worked very well, the image quality is very good.",want to play video while zooming,0
how to change video background?,mobile version is limited,0
but you can do so that you can put an animated gif picture and not just a photo.,want to join class,0
freezes during live streaming of sport events.,video freezes during live matches,1
and pls add virtual background for tabs,good app for work,0
"i can not register, plus the lack of ukrainian language, please correct it and put a good assessment",want to download the app from google play store,0
but i could not find the profile photo to be clicked.,want to zoom in or zoom out,0
:can you just add some more of backgrounds like:,want to connect audio to smart tv,0
i tried all the troubleshooting tips to no avail.,mobile version of zoom does not have features,0
"since the upgrade, i can not get into breakout room",want to enter meeting room,0
app is crashing in android 12 version,net work quality is bad,0
best app for online teaching,want to change two factor authentication settings and authenticator app,0
"very good app, but after the last update it shows a white line on the left of the screen",app shows a white line on the left of the screen,1
"very bad app the truth is when i enter i can not activate the microphone, and the weapon skins are ugly ree, the character is rebugged and the maps are uglier than the president of my country and it is full of jakers",want to hear audio and gameplay is bad,1
"the pen does not work any more, can you tell me why ?",pen is not working,1
all of the episodes for the season are not displayed.,app crashes frequently,0
my classes go in this app but graphics are bad,want to set profile,0
more options than netflix,want to change virtual background,0
"screen share quality is horrible, 40p at the very most.",screen share quality is poor,1
it seems that this app is not working for ios systems on ipads.,want to make a button that lowers all the participants' hands at once,0
"no option to save all recurring meetings for participants, hassle to click the link and input the passcode every time.",want to save recurring meetings,1
i can no longer pass classes,want to use zoom function,0
"this application is fairly good, but it does not support the arabic language; so i gave it 2 out of 5",want arabic language support,1
i am going nuts trying to figure out a way to have a picture up while on a zoom (and i do not want to be seen live).,want to upload a picture without being seen live,1
how to get zoom pro ?,want to join meeting rooms,0
my microphone is not working.,want to use microphone,1
speaker view not working on ipad,speaker view not working on ipad,1
can not find closed captions.,want to connect audio to smart tv,0
"when notifications are received on the phone, the conference is interrupted.",unable to join zoom rooms,0
but whenever teacher screen share sometimes it is blackscreen,want to stop downloading emoji package,0
can not share audio via bluetooth,arabic language does not exist,0
subtitles do not work well.,screen splitting does not work correctly,0
"the screen is clear and the sound is heard very well, and i am using it very well.",want to pair hearing aids,0
unable to share link,want to use virtual background,0
zoom android version can help me to discus with my friends and my partner.,zoom android version is good for discus,1
not all the movies are available,app is not useful,0
i am not able to get video,easy to connect,0
but it is saying ensure that no other apps are using camera and the update makes the app worst there is no option of enable original sound,want to connect headphones,0
please allow me to unblur my background and utilize the full quality of my camera.,facing app ping issue,0
cannotget in a meeting miss school,want to go to school,1
you do not have the possibility to add a wallpaper to the free version,want to add wallpaper to free version,1
"very good connection, very good linguistic quality.",good app for conducting online meeting and interviews,0
"the notification bell keeps going on during the meeting, it rings when a person joins or leaves which disturbs the meeting.",notification bell keeps ringing during the meeting,1
sometimes my connection drops and restarts the meeting,meeting gets disconnected,1
better viber than zoom,want to unsubscribe from zoom,0
a very useful application for distance learning became better when it comes to turkish support,birthdate information will not load,0
i am not able to switch on my video,want to download video,0
please the storage capacity is not too large,storage capacity is not too large,1
"so far, we have not added the ability to log in using qr code, as a result, one laptop and five different accounts, there is no quick change of account",want to pin video when sharing screen,0
"i lost access to my organizer account, the pro plan.",want to open virtual background,0
how do i setup a new group for a meeting?,zoom app is not working in background,0
i figured out how to replace my avatar with a picture when my video is off,want to replace avatar with picture when video is off,1
", i entered it, the code did not pass and it is not correct.",code did not pass,1
and they will not release episodes on time.,english translation is not correct,0
it is nice to have a star wars and marvel category.,good for watching star wars and marvel movies,1
being able to rewatch old disney dramas is great!,want to control features after update,0
"if the desktop version can still be used at the very least, then the application is generally useless",desktop version needs improvement,1
i pay for espn+ but still have to choose a tv provider to watch anything.,unable to use hulu on phone,0
the page does not open,want to open page,1
it does not have dark mode,want dark mode,1
please provide a feature to be able to install a background on iphone 6,want to install background on iphone,1
"the new window cannot be removed when the application is minimized, it always knocks back to the conference",transition from vertical axis to horizontal axis disables the application,0
what a disgusting application makes us pass classes,unable to open app since the last update,0
"terrible gameplay, bad graphics, bad characters, this game is bad",quality of game is bad,1
students are removed by host because the video get stopped and zoom take lots of internet and speed gets low due to that,students are removed by host,1
"i can not change the avatar, I have already reinstalled it and went in another way, i can not change the avatar in any way, i chose the photo and clicked save and not what.",want to update,0
the app is always loading but it does not start.,app keeps loading indefinitely,1
"you can not completely remove the conference sound, sometimes it is very disturbing,",want to zoom back to phone,0
in iphone it far better battery performance..!!,app is better and stable,0
the app is great but there is a missing movie about spider-man with no return home,good app for conducting online meetings and connecting with people,0
unpleasant reverse camera vcl,facing network connecting issues after updating the app,0
I am in a state where only error code 39 is displayed,getting error code 39,1
"also, i have espn+ as part of the disney bundle, but can not watch 3/4ths of the events in this stupid app because i ""do not have a cable provider"".",unable to load the android app,0
"even with a high speed internet, the app always lag.",want to have a conversation without a second line,0
does not accept access code!,downloaded videos are buffering,0
"terrible application does not let me play in cooperative mode and the cards in my deck do not appear entirely correct or in the order in which i added them, the only good thing is that i will not have without problems although sometimes it takes my account, the ded has arrived",want to hear audio on headset,0
"this needs to be changed so many other apps have largely the same settings computer to android (with some differences because of device limitations), not being able to use stereo audio is not a device limitation, so tell me why is not stereo audio an option on android if it is not a device",want to use stereo audio on android,1
immense for the interactions,unable to view ipl matches,0
"pretty good, but the video player sucks",video player is not working,1
i want to cancel my account,good for watching live matches and movies,0
"every time the app is updated, the account is deleted!",want to start a meeting,0
can not control the iris with a samsung tablet,want to use pip mode,0
i have a problem could not enter with my email already go into help and services zoom,break room feature is not available on mobile version,0
"the zoom has always worked very well, it is very convenient, but recently it has become hanging,",app hangs sometimes,1
i can not connect to the tv.,web app is bad,0
"the sound is rattling, and echo sometimes happens.",want to download zoom cloud meeting,0
please remove this app from google store as early as possible.,good quality of meetings,0
unable to enter classes because of problem 104101,app heats up the device,0
not having india's flag in emoji section,want indian flag in emoji section,1
sign up is very hard?,platform has poor quality of content,0
i want to watch a movie,want to watch movies,1
almost no configurability of how participants are displayed.,no configurability of how participants are displayed,1
i found a problem it sometimes would not work password,audio quality needs improvement,0
the app in my laptop keeps muting itself and it becomes so irritating in daily meetings.,graphics quality needs improvement,0
"one of the worst apps i have to use, because i do not have any other options to watch cricket in us.",want to scan code,0
user experience of this app is not very good.,app freezes automatically,0
very nice app with less consuming data,want to turn on video,0
only problem. wish we could isolate each speaker in the break out room.,want to isolate speaker in break out room,1
the ui can be improved,unable to communicate with customer service,0
can not turn off two step authentication.,want to turn off two step authentication,1
"i keep bouncing that my session has expired, but i hit some bugs and fix them",bluetooth headphones are not working,0
the app crashes when you try to open it,app crashes when entering the app,1
does not want to register and cannot join the conference,ads are annoying,0
this app is very glitchy especially on a green screen background the ads are kind of false advertising because they look so high quality when in reality,want to set virtual background on mobie,0
does not work properly on windows 11,good remote control app,0
"in general, the application is normal only it is very difficult to enter the system and sometimes lags",want to turn off center camera in the control center,0
this app is using too much data,data usage is high,1
"mediocre app, dumbed down video meetings for the masses with clumsy interface, significant lack of features and expensive for anything above the really crude basic entry level.",want to connect audio to smart tv,0
i can not play because my cell is locked,want to activate airplay and screen mirroring devices,0
"a good application for a private study group, important meeting with people at a far distance",good for private study,1
how do i post my profile picture with my ipad 9th gen,want to hold meetings,0
my hair was very thick with the skin peeling my skin and the hair and the skin,poor quality of service,0
the desktop version is lousy!,want camera and microphone option to be further,0
zoom is completely unusable while driving a car.,want to modify camera quality,0
i think you should change the app name to adstar.,want to change the app name to adstar,1
before updating its nice but not now i have many connection issues after updating this app,poor image quality,0
"very good, contains emoji filters and backgrounds",want to set up profile and increase meeting time limit,0
nice aap but no vertual background for mobiles and unable to login,notifications are received on the phone,0
i tried more than 10 times to download but it is not getting downloaded and it is showing that can not download zoom .,want to upload file attachments,0
"best entertainment app for video, movie, cartoon",want to find app on playstore,0
for multiple months now viewing progress is not saved when watching tv shows or movies via chromecast.,app has many errors,0
zoom will not let me create sections and also will not let me start or subscribe,want to change screens,0
you cannot interact with the app after exiting split screen mode.,want to interact with the app after exiting split screen mode,1
i some how lost the audio and video.,want to hear audio during meeting,0
it takes a long time to install,installing process is time consuming,1
needs more options and drop the pass boxes,code is wrong,0
it is easy to use for adults or kids .,want to access code,0
i love that i can use zoom to watch my kids school activities/functions that otherwise i would not be able to do,good for video conversations,0
worst app. can not take email,app is not working consistently,0
dear developers please add masks to phones,want to add masks to phones,1
can not set photos,zoom freezes the image and sounds,0
i can not use it because it says it is not available in certain regions,want to get a refund,0
good communication but very expensive,customer service is expensive,1
"it will not even let me put in my age it stays on the day it is opened and will not let me change the date, i can not even use the app",online classes are bad,0
there is a problem where i am not allowed to use zoom on mobile.,graphics quality is good,0
free subscription should be given for one month,unable to play videos,0
"the application does not have the option of my language, the catalan.",want catalan language support,1
and i can not communicate with friends,want to receive files in chat,0
how can i open a group?,want to open a group,1
bad connection and can not pin in phone,want to install app,0
"writes the code is wrong, it is impossible to register",code is wrong,1
very very good zoomapp,good for getting together without physical contact,0
"it is impossible to remove the background on the phone, but on the pc what is possible!?",want to remove background,1
"it is a good app and i am happy for this app but please give the virtual background option on this ipad mini , please i am pleasing you to give the option.",want to get virtual background option in ipad mini,1
please fix the audio connect issue,want to connect to audio device,1
great platform but also give virtual background to snapdragon 720 processors,app crashing during ipl stream,0
very creative app for organisations,app always has issues with login,0
app fails to work offline despite being up to date.,unable to access the app without internet connection,1
i want to watch free movies,want to get back to meetings after losing audio and visual,0
no to animal abuse stop putting tasks,want to stop animal abuse,1
"although i wrote the conference number and the code correctly (which was sent over hundreds of networks), but it writes the wrong code.",want to click sign in button,0
i can not open an account.,sound is disabled by default,0
my zoom app has not install plz hlp me,unable to join,1
switching between devices with a single account is very convenient.,unable to watch live video without cable,0
phone screen sharing is slow,unable to use scroll function,0
perfect app for the students and office workers .,unable to see past episodes after update,0
i do not like that i do not have the option to hide my camera just for myself not for other users on call,sound is too loud in the lowest setting,0
"it would be nice to put a ""next episode"" button",screen splitting does not work correctly,0
sometimes it says can not connect to the server ..,want to share video with sound,0
why is this app not responding on my device,app is not working consistently,1
this app is best for online class conducted by school .,want to add more backgrounds,0
"sometimes the app will crash, but i just restart my phone.",want to integrate voice calls and chat,0
"lots of features, but chat boxes keep blocking the presentation",getting logged out of meetings,0
phone calls drop all the time,getting enter code 83,0
"he often does not let me into the confib because i allegedly write an incorrect config code, although everything is correct",want to open confib,1
it is good but only for pcs and laptops,good for pcs and laptop,1
my invitees cannot join my meeting,invitees are unable to join meeting,1
helpful to connect with classmates and co-workers,good for connecting with team members,1
"nice app,but voice satting problem in this aap .",want to test audio,0
I have been having a lot of problems recently with hulu.,video quality is not clear,0
videos are not playing after showing ads.,unable to play video after advertisement,1
not working on any of my devices now.,unable to work on any device,1
i like this app but remove the extra ads,connecting through bluetooth is time consuming,0
good reception and good image quality,good reception and good image quality,1
i can not refresh the zoom,hulu has good content,0
there are many hdr capable phones from samsung and others.,call gets disconnected and app restarts,0
"even if i set the speaker volume to low, it sounds too high",want to get passcode option,0
"can not zoom out to use other apps, quite inconvenient, although the camera still has a miniature mode",want to delete message in zoom chat,0
please give us an update because the app is completely frozen as soon as it is opened.,unable to access the home page,0
this is a good app for live match and movies.,want to use virtual background,0
the app is too slow.,app is slow compared to other platforms,1
good background effects and good quality video.,app is slow compared to other platforms,0
please add the feature to where we can close the zoom app & still watch a video/movie on the small screen.,good for emoji filters,0
"forever crashes, the phone runs out of battery quickly, there are always some problems with the sound and picture quality, it also does not always send messages in the chat",phone runs out of battery,1
no using phone always get me discobnected,ipad app is bad,0
payment method is too difficult.with only one option credit card,payment method is difficult,1
missing information is unfriendly,want to get virtual background option for ipad,0
after the latest update the picture mode is not working,want to connect from android,0
waste of time it does not even let you scan the code when you have code!,want to scan code,1
but i want my screen to be mirrored even when others see it.,want a free subscription,0
switch from laptop to phone without logging out,switch from laptop to phone without logging out,1
you could not have standard settings install?,poor quality of meeting,0
perfect for multi tasking,want to make rooms for small groups,0
does not swing even if there is 1gb of space,camera shuts down during screen share,0
i love just i wish they would add more animes,app keeps loading indefinitely,0
difficulties with registration and login,want to unblur the background,0
i can not zoom back to my phone,want to zoom back to phone,1
"still does not allow choosing background filters from mobile devices, very inconvenient",app performance is bad,0
most of the time live streaming of ipl match is not available.,want to increase meeting time limit,0
i could not watch the movie i wanted to watch for god's sake,app is good for meetings and chatting,0
it sucks that android users can not upload backgrounds,want to upload backgrounds,1
not able to use virtual background filter in my meetings.,group members change places,0
i could not open my nephew's baby shower.,app is bad for work,0
this app is very glitchy especially on a green screen background the ads are kind of false advertising because they look so high quality when in reality,app is glitchy on green screen background,1
the video is regularly frozen,video freezes,1
how to get zoom pro ?,want to change avatar,0
the background does not change,want to navigate the app,0
"this needs to be changed so many other apps have largely the same settings computer to android (with some differences because of device limitations), not being able to use stereo audio is not a device limitation, so tell me why is not stereo audio an option on android if it is not a device",want to start a session,0
the volume control is not working.,want to put photo on avatar,0
but i would like it to lower its memory at least up to 50% of memory since it is time to uninstall apps that may be needed,want to specialize in computer science,0
i enjoy the variety that hulu has to offer.,need to improve the app,0
videos are not playing after showing ads.,unable to view episodes in my stuff list,0
"the application fu, we learn from it and the emoticons are not beautiful there",emoticons are not beautiful,1
"unclear encryption systems, etc.",unclear encryption system,1
it takes a long time to install,unable to adjust playback speed,0
i can not download emoji's.,want to download emojis,1
"hey guys, no choice menu for virtual background iphone 7",want to delete account,0
i enjoy the variety that hulu has to offer.,app has very good content,1
please fix the moto g20 screen issues.,app is better and stable,0
"the android version is not the same, it requires an update when the latest one is downloaded!",want to view multiple screens after upgrade,0
"no buttons, no way to drag down meeting controls from top, absolutely nothing i can do.",want to drag and drop meeting controls,1
why is this app not responding on my device,getting notifications even after turning it off,0
nihuevo transfer all user data to the tsar?,want to transfer user data to tsar,1
disable mic in the settings but still feel switched on without pressing the mic,want to turn off mic,1
"horrible, you do not have an icon to transmit screen (mirror),, horrible the application for that",zoom is amazing,0
but. it will not let me put funds and filter,want to pass classes,0
this app is using too much data,want to send audio,0
it keeps charging endlessly without ever opening,app keeps charging,1
worst app for online classes,zoom is amazing,0
getting too many notifications.,want to add mobile phone,0
i forget my password and tried to set new password via email,want to reset password,1
"can not install, whereas sy again need bgt for school instead can not install",unable to view all movies,0
it is not possible to connect headphones,want to recover data,0
it is not possible to log in either from the pc or from the tv.,unable to login on tv,1
in my phone i am not getting background features,unable to connect meeting,0
please add playback sessions watching please,different prices come every month,0
it sucks with bad xd graphics,good for children in lockdown time,0
when i play it the screen just turns black.,want to start web cam,0
apps are disgusting to spend bagasse charging on the phone,ipad 5 does not have background,0
"the mobile version is a bit limited, or maybe i did not find where to set up the virtual background.",want to toggle mute/unmute using spacebar,0
"i was leaving it and when i entered the chat again, the text i wrote 5 seconds ago was completely deleted and it repeated 3 times, it is very annoying.",text is deleted,1
it takes a long time to log in if you manage to log in,want to use ukrainian language,0
notifications do not work properly.,want to play because cell is locked,0
how to change the language?,want auto play next episode option,0
thank you for putting the new owl house episodes on [?],app is lagging,0
unable to add my mobile phone.,want to add mobile phone,1
"it is impossible to remove the background on the phone, but on the pc what is possible!?",ux/ui is bad,0
can not share audio via bluetooth,want to share audio via bluetooth,1
"but when i go back to zoom, there is sound",want to translate a language,0
i can not watch ipl,good picture quality of movies delivered,0
better than the previous update,sound quality is poor,0
i am not going to 5 stars yet because what is most lacking is the option to open simultaneous rooms and place participants in them.,service is good for the price,0
i do not want to see stupid app notifications and there is no way to disable them.,want to unblur the background,0
can not use video filter and studio effects,good app for work,0
the server never runs properly!,app has terrible servers,1
"very bad app the truth is when i enter i can not activate the microphone, and the weapon skins are ugly ree, the character is rebugged and the maps are uglier than the president of my country and it is full of jakers",want to register in zoom,0
